2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 150
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/116 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/116 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/116/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1505
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 150
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/119 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/119 HTTP/1.1" 200 455
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/119/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1527
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1654
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1915
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 150
2020-05-29 09:17:04 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/124 HTTP/1.1" 200 455
2020-05-29 09:17:04 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/124 HTTP/1.1" 200 455
2020-05-29 09:17:04 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/124/commit HTTP/1.1" 200 26
2020-05-29 09:17:04 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:04 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1689
